cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
cluster_3,GO:0043565,sequence-specific DNA binding,12/253,397/24738,0.030226700251889168,2.9555261297677244,3.9927616866957005,8.552136170534117e-4,0.03534882950487435,0.03330831982208025,Phvul.001G088200.2/Phvul.001G154700.1/Phvul.002G155300.2/Phvul.002G285800.1/Phvul.003G070300.1/Phvul.003G138200.1/Phvul.004G048200.1/Phvul.005G040000.1/Phvul.007G067800.1/Phvul.007G174800.2/Phvul.008G045100.1/Phvul.009G078300.2,12
cluster_3,GO:0016887,ATP hydrolysis activity,9/253,253/24738,0.03557312252964427,3.478292115171304,4.027600837631812,0.0012420446219036003,0.03850338327901161,0.036280777113499904,Phvul.001G165700.1/Phvul.003G122400.1/Phvul.004G023066.1/Phvul.004G044100.2/Phvul.004G044132.1/Phvul.006G013900.1/Phvul.008G276150.1/Phvul.008G276201.1/Phvul.009G192401.1,9
cluster_3,GO:0046982,protein heterodimerization activity,6/253,123/24738,0.04878048780487805,4.76969054275523,4.260318388469117,0.0016918031747711966,0.04195671873432568,0.03953476892623217,Phvul.001G009100.1/Phvul.002G269200.1/Phvul.006G090400.1/Phvul.007G273000.1/Phvul.011G163600.1/Phvul.011G164601.1,6
cluster_4,GO:0043531,ADP binding,34/194,420/24738,0.08095238095238096,10.322680412371135,17.131808968775164,1.3954115329505562e-24,1.3814574176210507e-22,1.2925917357857783e-22,Phvul.001G133601.1/Phvul.002G323000.2/Phvul.002G323200.1/Phvul.002G323400.2/Phvul.002G323712.1/Phvul.004G005600.1/Phvul.004G007900.2/Phvul.004G008101.1/Phvul.004G008351.1/Phvul.004G008740.1/Phvul.004G008900.1/Phvul.004G008918.1/Phvul.004G008981.1/Phvul.004G009136.1/Phvul.004G009281.1/Phvul.004G009300.2/Phvul.004G009521.1/Phvul.004G009527.1/Phvul.004G009821.1/Phvul.004G009936.1/Phvul.004G013000.1/Phvul.004G015600.1/Phvul.004G015732.1/Phvul.004G015800.1/Phvul.004G016532.1/Phvul.007G160901.1/Phvul.010G024301.1/Phvul.010G026100.1/Phvul.010G027300.1/Phvul.010G028800.1/Phvul.010G029000.3/Phvul.010G029100.1/Phvul.010G029600.1/Phvul.011G195200.1,34
cluster_4,GO:0007165,signal transduction,12/194,396/24738,0.030303030303030304,3.8641049671977505,5.108108374580127,7.371143354800067e-5,0.0025378521291876664,0.002374598483450448,Phvul.002G323000.2/Phvul.002G323200.1/Phvul.002G323712.1/Phvul.003G161100.1/Phvul.007G160901.1/Phvul.010G024301.1/Phvul.010G026100.1/Phvul.010G027300.1/Phvul.010G028700.1/Phvul.010G028800.1/Phvul.010G029000.3/Phvul.010G029100.1,12
cluster_4,GO:0046873,metal ion transmembrane transporter activity,4/194,30/24738,0.13333333333333333,17.002061855670103,7.796855477703898,8.5657013886699e-5,0.0025378521291876664,0.002374598483450448,Phvul.006G001000.2/Phvul.008G259200.1/Phvul.009G077700.1/Phvul.L007543.1,4
cluster_4,GO:0005385,zinc ion transmembrane transporter activity,3/194,13/24738,0.23076923076923078,29.426645519429027,9.114458005114058,1.2817434995897304e-4,0.0025378521291876664,0.002374598483450448,Phvul.006G001000.2/Phvul.008G259200.1/Phvul.009G077700.1,3
cluster_4,GO:0071577,zinc ion transmembrane transport,3/194,13/24738,0.23076923076923078,29.426645519429027,9.114458005114058,1.2817434995897304e-4,0.0025378521291876664,0.002374598483450448,Phvul.006G001000.2/Phvul.008G259200.1/Phvul.009G077700.1,3
cluster_5,GO:0030976,thiamine pyrophosphate binding,3/167,11/24738,0.2727272727272727,40.399564507348934,10.775126656766508,4.7912588111186715e-5,0.005078734339785792,0.0043373500816442714,Phvul.006G177600.1/Phvul.008G095400.1/Phvul.010G078000.1,3
cluster_5,GO:0016831,carboxy-lyase activity,3/167,19/24738,0.15789473684210525,23.389221556886227,8.048606218554738,2.704144760949598e-4,0.01433196723303287,0.01223981312850871,Phvul.006G177600.1/Phvul.008G095400.1/Phvul.010G078000.1,3
cluster_5,GO:0022857,transmembrane transporter activity,6/167,147/24738,0.04081632653061224,6.046193327630453,5.058884820698706,4.990092935552127e-4,0.017631661705617516,0.015057824296753789,Phvul.003G151700.1/Phvul.003G252500.1/Phvul.006G210200.1/Phvul.006G210300.1/Phvul.009G189000.1/Phvul.011G016300.1,6
cluster_5,GO:0016791,phosphatase activity,4/167,64/24738,0.0625,9.258233532934131,5.453529930116019,9.286962195338436e-4,0.024610449817646856,0.02101786181050278,Phvul.010G140800.1/Phvul.010G140900.1/Phvul.010G141050.1/Phvul.010G141200.2,4
cluster_5,GO:0006662,glycerol ether metabolic process,3/167,42/24738,0.07142857142857142,10.580838323353293,5.123127715360712,0.002859342904469583,0.04330668779937406,0.036984857504927214,Phvul.001G109200.1/Phvul.001G112200.1/Phvul.009G186300.1,3
cluster_5,GO:0005985,sucrose metabolic process,2/167,12/24738,0.16666666666666666,24.688622754491018,6.766651916299339,0.002859875609392627,0.04330668779937406,0.036984857504927214,Phvul.001G209600.1/Phvul.009G223800.1,2
cluster_5,GO:0016157,sucrose synthase activity,2/167,12/24738,0.16666666666666666,24.688622754491018,6.766651916299339,0.002859875609392627,0.04330668779937406,0.036984857504927214,Phvul.001G209600.1/Phvul.009G223800.1,2
